date,p,q
2024/5/25 5:00,78.29,1.94
2024/5/25 5:15,76.21,-1.75
2024/5/25 5:30,68.41,-0.86
2024/5/25 5:45,67.31,-1.77
2024/5/25 6:00,65.89,-0.54
2024/5/25 6:15,79.76,6.19
2024/5/25 6:30,77.31,5.9
2024/5/25 6:45,76.67,7.14
2024/5/25 7:00,78.71,6.46
2024/5/25 7:15,80.75,8.48
2024/5/25 7:30,80.66,8.55
2024/5/25 7:45,82.87,12.19
2024/5/25 8:00,81.65,10.07
2024/5/25 8:15,81.62,8.91
2024/5/25 8:30,84.75,7.97
2024/5/25 8:45,99.03,11
2024/5/25 9:00,110.87,10.61
2024/5/25 9:15,109.96,9.55
2024/5/25 9:30,108.86,7.8
2024/5/25 9:45,107.42,9.56
2024/5/25 10:00,102.06,7.77
2024/5/25 10:15,103.83,8.78
2024/5/25 10:30,105.61,9.79
2024/5/25 10:45,107.06,10.61
2024/5/25 11:00,111.33,11.28
2024/5/25 11:15,115.27,14.04
2024/5/25 11:30,115.04,12.75
2024/5/25 11:45,104.95,11.88
2024/5/25 12:00,110.18,11.46
2024/5/25 12:15,111.09,13.16
2024/5/25 12:30,107.13,11.49
2024/5/25 12:45,101.01,9.5
2024/5/25 13:00,16.53,-0.75
2024/5/25 13:15,94.28,7.14
2024/5/25 13:30,95.84,7.6
2024/5/25 13:45,100.83,8.06
2024/5/25 14:00,95.59,6.98
2024/5/25 14:15,103.71,10.45
2024/5/25 14:30,101.76,9.24
2024/5/25 14:45,97.05,7.64
2024/5/25 15:00,97.46,7.89
2024/5/25 15:15,94.74,7.03
2024/5/25 15:30,95.72,8.32
2024/5/25 15:45,97.84,6.75
2024/5/25 16:00,105.17,6.82
2024/5/25 16:15,100.93,6.04
2024/5/25 16:30,92.37,6.1
2024/5/25 16:45,95.6,7.44
2024/5/25 17:00,86.34,1.82
2024/5/25 17:15,73.37,-0.2
2024/5/25 17:30,77.11,-0.04
2024/5/25 17:45,81.16,2.92
2024/5/25 18:00,77.09,3.28
2024/5/25 18:15,75.97,-0.4
2024/5/25 18:30,89.87,-1.54
2024/5/25 18:45,90.39,-2.69
2024/5/25 19:00,96.28,-1.22
2024/5/25 19:15,101.53,-1.03
2024/5/25 19:30,94.88,-2.42
2024/5/25 19:45,98.32,-1.15
2024/5/25 20:00,90.91,-2.75
2024/5/25 20:15,90.85,-3
2024/5/25 20:30,92.52,-0.33
2024/5/25 20:45,90.69,-2.27
2024/5/25 21:00,89.39,-2.6
2024/5/25 21:15,91.64,-2.69
2024/5/25 21:30,73.84,1.48
2024/5/25 21:45,92.4,-2.3
2024/5/25 22:00,92.42,-0.69
2024/5/25 22:15,92.41,-0.17
2024/5/25 22:30,92.4,0.35
2024/5/25 22:45,87.46,-3.39
2024/5/25 23:00,86.59,-3.54
2024/5/25 23:15,83.21,-3.76
2024/5/25 23:30,83.81,-2.68
2024/5/25 23:45,83.92,-2.56
2024/5/26 0:00,82.03,-1.84
2024/5/26 0:15,82.59,-3.03
2024/5/26 0:30,83.57,-1.96
2024/5/26 0:45,80.94,-3.04
2024/5/26 1:00,79.75,-1.78
2024/5/26 1:15,81.11,-2.99
2024/5/26 1:30,80.67,-2.88
2024/5/26 1:45,78.96,-2.01
2024/5/26 2:00,81.04,-1.74
2024/5/26 2:15,79.98,-1.87
2024/5/26 2:30,79.82,-2.17
2024/5/26 2:45,83.26,1
2024/5/26 3:00,82.07,-0.96
2024/5/26 3:15,77.55,-3.47
2024/5/26 3:30,77.53,-3.51
2024/5/26 3:45,79.2,-1.95
2024/5/26 4:00,78.91,-2.08
2024/5/26 4:15,76.72,-3.02
2024/5/26 4:30,77.38,-2.08
